Accession ID	Collection date	Submission date	Location
EPI_ISL_1197136	2021-02-26	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197061	2021-02-19	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197056	2021-02-16	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197048	2021-02-19	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197046	2021-02-18	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197057	2021-02-16	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197053	2021-02-23	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197054	2021-02-24	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197045	2021-02-18	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197059	2021-02-15	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1197055	2021-02-15	2021-03-10	North America / USA / California / Los Angeles County
EPI_ISL_1191110	2021-02-15	2021-03-09	North America / USA / California / Los Angeles County
EPI_ISL_1192369	2021-02-17	2021-03-09	North America / USA / California / Los Angeles County
EPI_ISL_1192370	2021-02-19	2021-03-09	North America / USA / California / Los Angeles County
EPI_ISL_1191127	2021-02-22	2021-03-09	North America / USA / California / Los Angeles County
EPI_ISL_1191124	2021-02-17	2021-03-09	North America / USA / California / Los Angeles County
EPI_ISL_12056173	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12056369	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_1191126	2021-02-22	2021-03-09	North America / USA / California / Los Angeles County
EPI_ISL_12056363	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12056979	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12056771	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12056338	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12056303	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12056315	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057664	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057662	2020-12-14	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057454	2020-12-13	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057816	2020-12-15	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057795	2020-12-15	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057796	2020-12-15	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057813	2020-12-15	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057572	2020-12-15	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12057554	2020-12-16	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058573	2020-12-12	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058571	2020-12-12	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058579	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058606	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12059052	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058486	2020-12-12	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058466	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058517	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_12058521	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_3526033	2020-11-30	2021-07-26	North America / USA / California / Los Angeles County
EPI_ISL_3526029	2020-11-09	2021-07-26	North America / USA / California / Los Angeles County
EPI_ISL_11901917	2020-11-17	2022-04-10	North America / USA / California / Los Angeles County
EPI_ISL_3526030	2020-11-26	2021-07-26	North America / USA / California / Los Angeles County
EPI_ISL_3526031	2020-11-24	2021-07-26	North America / USA / California / Los Angeles County
EPI_ISL_3526032	2020-11-26	2021-07-26	North America / USA / California / Los Angeles County
EPI_ISL_3526034	2020-12-02	2021-07-26	North America / USA / California / Los Angeles County
EPI_ISL_12056087	2020-12-10	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_2881911	2021-02-09	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2881864	2021-02-09	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2881929	2021-02-10	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2881943	2021-02-18	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2881951	2021-02-17	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2881952	2021-02-17	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2881998	2021-02-17	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882028	2021-02-10	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882036	2021-02-17	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882210	2021-02-08	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882350	2021-02-07	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882499	2021-02-05	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882353	2021-02-07	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882526	2021-02-09	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882527	2021-02-09	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882656	2021-02-06	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_12056990	2020-12-11	2022-04-14	North America / USA / California / Los Angeles County
EPI_ISL_2882556	2021-02-05	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_8613231	2021-02-27	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8612871	2021-02-27	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613232	2021-02-11	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613173	2021-02-28	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613358	2021-02-16	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613356	2021-02-21	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613319	2021-02-27	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613445	2021-02-11	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613553	2021-02-11	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613756	2021-02-16	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613672	2021-03-09	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613628	2021-03-01	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613627	2021-02-10	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613629	2021-02-26	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8612828	2021-02-16	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8631391	2021-02-21	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8634363	2021-02-04	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8635924	2021-02-23	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8634565	2021-02-20	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8635151	2021-02-06	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8634562	2021-02-21	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_569686	2020-06-22	2020-10-02	North America / USA / California / Los Angeles County
EPI_ISL_8397257	2021-02-18	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_574635	2020-06-22	2020-10-02	North America / USA / California / Los Angeles County
EPI_ISL_574634	2020-06-22	2020-10-02	North America / USA / California / Los Angeles County
EPI_ISL_574636	2020-06-22	2020-10-02	North America / USA / California / Los Angeles County
EPI_ISL_984464	2021-01-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984469	2021-01-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984481	2021-01-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984490	2020-09-01	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984512	2020-09-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984521	2020-09-02	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984523	2020-09-03	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984516	2020-09-03	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984529	2020-09-10	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984540	2020-09-14	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984443	2020-12-29	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984441	2020-12-29	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984436	2021-01-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984453	2021-01-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984500	2020-09-03	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984506	2020-09-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984507	2020-09-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984502	2020-09-03	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984517	2020-09-02	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984513	2020-09-03	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_2882700	2021-02-06	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_984466	2021-01-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984511	2020-09-05	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984508	2020-09-04	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984505	2020-09-03	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984518	2020-09-02	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984514	2020-09-03	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984532	2020-09-10	2021-02-13	North America / USA / California / Los Angeles County
EPI_ISL_984543	2020-09-15	2021-02-13	North America / USA / California / Los Angeles County
